Company,Funding Round,Amount,Date,RupeesAmount,dollarAmt
Skenzo,Private Equity,—,"Mar 26, 2008",0,0
Celebrity Cricket League,Venture - Series Unknown,—,"Apr 15, 2011",0,0
CEON Solutions,Venture - Series Unknown,"$688,000","Mar 20, 2007",51600000,619200
Zentron Labs,Seed,"$524,000","Jan 31, 2013",39300000,471600
eClerx,Post-IPO Equity,"$6,530,000","Mar 10, 2010",489750000,5877000
Multistory Learning,Angel,"$45,000","Jan 3, 2013",3375000,40500
Komli Media,Series A,"$7,000,000","Jan 1, 2008",525000000,6300000
Karvy Group,Private Equity,—,"Jul 1, 2004",0,0
Dr. Tech,Venture - Series Unknown,—,"Jan 1, 2013",0,0
inTarvo,Venture - Series Unknown,"$14,000,000","Sep 17, 2009",1050000000,12600000
Richcore,Venture - Series Unknown,—,"Sep 1, 2008",0,0
Mu Sigma,Private Equity,"$108,000,000","Dec 28, 2011",8100000000,97200000
India Switch Company,Venture - Series Unknown,"$23,000,000","Apr 1, 2005",1725000000,20700000
HHV Solar,Venture - Series Unknown,"$7,000,000","Mar 1, 2008",525000000,6300000
ahmad Ahlalat,Angel,"$1,000,000","Nov 15, 2008",75000000,900000
Global Shiksha,Pre-Seed,"₹13,400,000","May 1, 2011",13400000,160800
Cultivate IT Solutions & Management Pvt. Ltd.,Seed,"$20,000","Mar 31, 2010",1500000,18000
Institute of Creative Excellence,Pre-Seed,—,"Oct 1, 2012",0,0
Orient Green Power,Private Equity,"$55,000,000","Nov 26, 2008",4125000000,49500000
ACB (India) Limited,Series C,"$25,090,000","Mar 31, 2008",1881750000,22581000
RCL Foods,Post-IPO Equity,—,"Feb 21, 2008",0,0
iD Fresh Food,Seed,"$484,464","Jan 1, 2012",36334800,436017.6
Mane Developers,Venture - Series Unknown,—,"Mar 1, 2012",0,0
DANS Group,Private Equity,"₹1,500,000,000","Aug 1, 2012",1500000000,18000000
Real Image Media Technologies,Venture - Series Unknown,"$16,000,000","Aug 1, 2008",1200000000,14400000
SEForge,Private Equity,"₹4,000,000,000","Sep 1, 2008",4000000000,48000000
CronJ IT Technologies,Seed,"$10,000","Apr 10, 2012",750000,9000
PolicyBazaar,Venture - Series Unknown,—,"May 25, 2011",0,0
Convergence Tech,Venture - Series Unknown,—,"Sep 1, 2008",0,0
Bodhicrew Services,Seed,—,"Feb 7, 2012",0,0
Ezetap,Series A,"$3,500,000","Nov 1, 2012",262500000,3150000
Concord Enviro Systems Limited,Venture - Series Unknown,"₹421,900,000","Dec 23, 2009",421900000,5062800
Tunip Agro Limited,Venture - Series Unknown,—,"May 1, 2010",0,0
Ostrya Labs,Non-equity Assistance,—,"Jun 1, 2012",0,0
Glocal Healthcare,Seed,"$2,830,000","Jan 3, 2011",212250000,2547000
NEPRA Resource Management,Series A,—,"Jan 24, 2013",0,0
Plan My food,Seed,"£53,000","Nov 2, 2011",0,0
Reach Technologies,Venture - Series Unknown,"₹20,000,000","Mar 1, 2004",20000000,240000
VSM Solar,Venture - Series Unknown,—,"Dec 1, 2011",0,0
ixigo,Series A,"$6,000,000","Aug 11, 2011",450000000,5400000
MITRA,Seed,"$200,000","Oct 15, 2012",15000000,180000
Dilip Buildcon,Venture - Series Unknown,"₹750,000,000","Jan 1, 2012",750000000,9000000
International Oncology Services,Venture - Series Unknown,"₹200,000,000","Jul 4, 2012",200000000,2400000
ITFinity,Angel,—,"May 12, 2000",0,0
TriggerO.com,Angel,"$73,529","Sep 7, 2012",5514675,66176.1
MACROCOMM,Venture - Series Unknown,"₹60,000,000","Mar 1, 2006",60000000,720000
Innovis,Venture - Series Unknown,—,"Dec 12, 2011",0,0
Delyver,Seed,—,"Jun 1, 2012",0,0
Zovi,Series B,"$10,000,000","Jun 1, 2012",750000000,9000000
Dhama Innovations,Pre-Seed,"₹9,000,000","Jul 1, 2009",9000000,108000
Data Access,Venture - Series Unknown,—,"Apr 4, 2000",0,0
Gold Souk Group,Venture - Series Unknown,—,"Oct 1, 2005",0,0
Shree Kamdhenu Electronics Pvt. Ltd.,Venture - Series Unknown,—,"Jan 1, 2003",0,0
Intellecap,Seed,"$9,971","Dec 29, 2009",747825,8973.9
Gemini Communications,Private Equity,—,"Nov 9, 2011",0,0
Viedea,Angel,—,"Jan 1, 2008",0,0
Data View Systems,Seed,"₹100,000","Mar 21, 2008",100000,1200
Nunook Interactive,Seed,—,"Sep 23, 2011",0,0
TunePatrol,Seed,"$20,000","Aug 1, 2012",1500000,18000
ixigo,Seed,"$500,000","Feb 1, 2008",37500000,450000
Techfront,Private Equity,"$10,000,000","Jan 1, 2011",750000000,9000000
Svasti Microfinance,Venture - Series Unknown,"₹45,000,000","May 10, 2011",45000000,540000
NeST Group,Venture - Series Unknown,"$22,250,000","May 16, 2006",1668750000,20025000
eDabba,Seed,"$1,000,000","Apr 1, 2012",75000000,900000
Manthan,Venture - Series Unknown,"$2,000,000","Jun 20, 2007",150000000,1800000
Proof-of-Performance,Seed,—,"Oct 1, 2010",0,0
AdScoot,Seed,"$50,000","Aug 26, 2009",3750000,45000
Applied solar Technologies,Venture - Series Unknown,"$24,600,000","Jan 1, 2012",1845000000,22140000
Dezains.com,Seed,"$50,000","Jan 1, 2012",3750000,45000
DS Productions,Venture - Series Unknown,—,"Feb 1, 2012",0,0
Financial Information Network & Operations Pvt,Venture - Series Unknown,"$15,000,000","Dec 9, 2009",1125000000,13500000
Murmur App,Seed,"$20,000","Mar 25, 2012",1500000,18000
CovaiCare,Venture - Series Unknown,—,"May 1, 2011",0,0
Touristlink,Seed,"$40,000","Aug 9, 2012",3000000,36000
Sanovi Technologies,Series B,"$6,100,000","Aug 1, 2006",457500000,5490000
Fashionara,Series A,—,"May 31, 2012",0,0
Linear Circuits,Non-equity Assistance,—,"Jun 1, 2011",0,0
Healthspring,Series A,"₹205,000,000","Jun 20, 2011",205000000,2460000
BVG India,Private Equity,—,"Sep 30, 2008",0,0
Super Religare Laboratories Ltd.,Private Equity,"₹1,000,000,000","Apr 18, 2011",1000000000,12000000
Bluo,Funding Round,—,"May 13, 2009",0,0
Online Prasad,Seed,—,"Jan 1, 2012",0,0
Mercer | Mettl,Seed,"$80,000","Aug 30, 2010",6000000,72000
Zicom,Post-IPO Equity,—,"Jun 12, 2007",0,0
Crederity Info Services,Venture - Series Unknown,—,"Mar 1, 2009",0,0
Hitachi Payment Services,Venture - Series Unknown,"$8,000,000","Aug 5, 2011",600000000,7200000
Frilp,Venture - Series Unknown,—,"Jan 3, 2013",0,0
iKen Solutions Pvt. Ltd.,Funding Round,"$2,000,000","Jan 1, 2007",150000000,1800000
Quikr,Series E,"$32,000,000","May 22, 2012",2400000000,28800000
Mojostreet,Seed,"$350,000","Apr 12, 2011",26250000,315000
Exterior Interior,Venture - Series Unknown,—,"Feb 1, 2012",0,0
Laurus Labs,Venture - Series Unknown,—,"Jan 1, 2012",0,0
Manappuram Finance,Post-IPO Equity,—,"Dec 1, 2010",0,0
ViralMint,Seed,—,"Jun 1, 2012",0,0
Intas Pharmaceuticals,Private Equity,"₹3,000,000,000","Apr 25, 2012",3000000000,36000000
CircuitSutra Technologies,Venture - Series Unknown,"$198,000","Jan 14, 2010",14850000,178200
Phonologies (India),Pre-Seed,"$40,000","Jul 1, 2001",3000000,36000
Touchpoint,Series C,"$3,000,000","Apr 16, 2003",225000000,2700000
Tyroo,Venture - Series Unknown,—,"Jun 9, 2012",0,0
Parksons Packaging,Private Equity,"$11,000,000","Jan 1, 2006",825000000,9900000
Influx Worldwide,Pre-Seed,"$50,000","Oct 12, 2005",3750000,45000
ValueFirst,Series A,"$5,000,000","Dec 29, 2008",375000000,4500000
Coastal Projects,Private Equity,"$32,800,000","Apr 1, 2008",2460000000,29520000
Manjeera Group,Venture - Series Unknown,—,"May 16, 2010",0,0
Teledata Informatics,Venture - Series Unknown,—,"Apr 10, 2007",0,0
GPT Steel Industries,Private Equity,—,"Jul 24, 2006",0,0
Yatra,Debt Financing,—,"Dec 31, 2011",0,0
Cepha Imaging,Private Equity,—,"Dec 1, 2005",0,0
HummingBird,Series A,"$4,000,000","Aug 12, 2008",300000000,3600000
MokshaYug Access (MYA),Venture - Series Unknown,"$2,000,000","Mar 17, 2008",150000000,1800000
Mahindra Rise,Post-IPO Equity,"$60,000,000","Jul 1, 2008",4500000000,54000000
Iven Medicare,Venture - Series Unknown,"$24,000,000","Jan 16, 2008",1800000000,21600000
Lavasa Corporation,Venture - Series Unknown,—,"Apr 1, 2009",0,0
YKROK,Venture - Series Unknown,"$3,000,000","Jun 22, 2012",225000000,2700000
MapmyIndia,Series B,"$25,000,000","Aug 10, 2007",1875000000,22500000
Samson Maritime,Private Equity,"₹65,000,000","Jan 1, 2008",65000000,780000
Himalaya,Post-IPO Equity,—,"Mar 20, 2009",0,0
SmartOwner,Angel,—,"Nov 20, 2012",0,0
Three Platinum Softech,Venture - Series Unknown,—,"Dec 1, 2011",0,0
Brightcom Group (formerly LYCOS Internet Ltd),Venture - Series Unknown,"$48,000,000","Jan 18, 2011",3600000000,43200000
ADHPL,Private Equity,"$15,000,000","Jan 28, 2010",1125000000,13500000
PropertyFirst.com,Series A,—,"Mar 17, 1999",0,0
Aarvee Associates,Series A,—,"Jan 1, 1989",0,0
Saaol Health,Pre-Seed,"₹100,000","Aug 12, 1994",100000,1200
CMR,Venture - Series Unknown,"₹250,000,000","Jun 6, 2011",250000000,3000000
SITAC RE,Venture - Series Unknown,"₹400,000,000","Jan 29, 2013",400000000,4800000
Synergies Castings,Venture - Series Unknown,—,"Jun 29, 2010",0,0
Career planet Infotech,Series C,"$2,000,000","Mar 3, 2011",150000000,1800000
LIQVID,Series A,"$1,000,000","Jan 1, 2010",75000000,900000
Bharat Financial Inclusion,Post-IPO Equity,"$39,530,000","Jul 17, 2012",2964750000,35577000
Suvidhaa,Series A,—,"Jan 1, 2008",0,0
Reasoning Global eApplications Ltd.,Series A,"$1,550,000","Jan 1, 2008",116250000,1395000
Money-Wizards,Seed,—,"Oct 22, 2012",0,0
Perfect Pincode,Seed,"₹175,700,000","Mar 1, 2012",175700000,2108400
KMC Constructions Limited,Private Equity,"₹5,000,000,000","Mar 28, 2011",5000000000,60000000
Caravel Logistics,Private Equity,"$5,160,000","Jul 1, 2009",387000000,4644000
Zomato,Series B,"$2,300,000","Sep 1, 2012",172500000,2070000
Sea6 Energy,Angel,"$2,000,000","Oct 1, 2010",150000000,1800000
Arch Pharmalabs,Corporate Round,—,"Jan 17, 2013",0,0
N K Proteins,Venture - Series Unknown,—,"Nov 3, 2010",0,0
Eco Recycling Limited,Post-IPO Equity,—,"Jan 15, 2008",0,0
ReachTax,Seed,—,"Aug 13, 2009",0,0
Pipal Tree Ventures,Seed,"₹22,500,000","Nov 15, 2010",22500000,270000
MyCare,Venture - Series Unknown,"$999,999","Jan 26, 2012",74999925,899999.1
Indian Energy Exchange,Venture - Series Unknown,"₹700,000,000","Dec 30, 2010",700000000,8400000
Maxworth Realty,Venture - Series Unknown,—,"Sep 1, 2012",0,0
Kam Avida,Private Equity,—,"Aug 25, 2008",0,0
Shiram Credit,Venture - Series Unknown,"$15,000,000","Sep 18, 2011",1125000000,13500000
Society For Orphan Neglected And Youths,Seed,"$30,000","Apr 15, 2004",2250000,27000
DishnetDSL,Corporate Round,"$22,900,000","Mar 17, 2000",1717500000,20610000
Moolchand Healthcare,Venture - Series Unknown,"$22,000,000","Sep 23, 2011",1650000000,19800000
MobiKwik,Seed,"$500,000","Sep 16, 2010",37500000,450000
Manipal Hospitals,Private Equity,"$100,000,000","Dec 2, 2012",7500000000,90000000
SwaaS Systems Private Limited,Venture - Series Unknown,—,"Jan 1, 2009",0,0
Federal Bank,Post-IPO Equity,—,"Aug 28, 2012",0,0
InstaColl,Venture - Series Unknown,—,"Mar 15, 2007",0,0
NEL Holdings South,Venture - Series Unknown,—,"Mar 25, 2009",0,0
Aurality,Seed,"$300,000","Mar 19, 2012",22500000,270000
Rinac India,Private Equity,—,"Feb 1, 2012",0,0
Inkfruit,Series A,"$3,000,000","Jan 24, 2011",225000000,2700000
Attero,Series B,"$3,300,000","Aug 9, 2010",247500000,2970000
burrp!,Series A,"$2,000,000","Nov 1, 2007",150000000,1800000
Shriram Land Development India,Private Equity,"$12,000,000","Sep 1, 2008",900000000,10800000
MT Educare,Private Equity,"$12,000,000","Aug 29, 2007",900000000,10800000
Bookmycab,Series A,—,"Jul 27, 2012",0,0
Sparsha learning,Non-equity Assistance,—,"Jan 11, 2013",0,0
Rebel Foods,Series A,"$8,000,000","Jan 1, 2011",600000000,7200000
Canvera Digital Technologies,Series B,"$6,500,000","Aug 29, 2012",487500000,5850000
Salarpuria,Private Equity,—,"Aug 22, 2008",0,0
BVG India,Private Equity,—,"Jan 1, 2011",0,0
Picsean,Seed,—,"Aug 13, 2009",0,0
SMEClabs,Series A,"$15,000","Feb 2, 2001",1125000,13500
GV Meditech,Venture - Series Unknown,—,"Apr 28, 2010",0,0
IPSA Labs,Venture - Series Unknown,"₹98,100,000","Sep 1, 2012",98100000,1177200
Deccan Charters,Venture - Series Unknown,—,"Apr 22, 2006",0,0
NTT Global Networks,Series B,"$35,000,000","Oct 15, 2001",2625000000,31500000
Mu Sigma,Private Equity,"$30,000,000","Sep 24, 2008",2250000000,27000000
Altus Learning,Venture - Series Unknown,"$3,500,000","Aug 10, 2012",262500000,3150000
Annapurna Finance,Series A,"$2,600,000","Jun 29, 2012",195000000,2340000
Ferrousworks,Seed,"₹1,000,000","Jan 1, 2011",1000000,12000
Oorjita Projects,Venture - Series Unknown,—,"May 15, 2012",0,0
Sahyadri Hospitals,Secondary Market,"₹1,900,000,000","May 3, 2012",1900000000,22800000
Trinethra,Private Equity,"₹80,000,000","Aug 1, 2000",80000000,960000
Brightcom Group (formerly LYCOS Internet Ltd),Venture - Series Unknown,"$20,000,000","Dec 5, 2007",1500000000,18000000
TARA Machines,Venture - Series Unknown,"₹27,500,000","Jul 1, 2012",27500000,330000
SuccessNexus.com,Seed,"$75,000","Dec 1, 2010",5625000,67500
Paras Pharmaceuticals Ltd,Private Equity,"₹1,000,000,000","Jul 21, 2006",1000000000,12000000
CRIF High Mark Credit Information Services,Seed,"$1,000,000","Feb 13, 2009",75000000,900000
Veeda Clinical Research,Private Equity,—,"Jan 1, 2007",0,0
Eduora,Seed,"$28,000","Sep 1, 2012",2100000,25200
CreditAccess Grameen,Series A,"₹920,000,000","Apr 1, 2008",920000000,11040000
Brookefield Hospital,Venture - Series Unknown,—,"Mar 1, 2011",0,0
Bhilwara Energy,Private Equity,"$50,000,000","Jul 12, 2010",3750000000,45000000
ideacts innovations,Venture - Series Unknown,"$5,000,000","Jul 3, 2008",375000000,4500000
LimeRoad,Series A,"$5,000,000","Oct 23, 2012",375000000,4500000
Utkarsh Micro Finance,Series B,"$3,640,000","Sep 11, 2011",273000000,3276000
Bafna,Venture - Series Unknown,—,"Jul 1, 2008",0,0
Pangea Econet Assets,Venture - Series Unknown,—,"Sep 21, 2012",0,0
Jabong.com,Seed,—,"Sep 30, 2010",0,0
Grama Vidiyal Micro Finance,Venture - Series Unknown,"$4,000,000","Jun 16, 2009",300000000,3600000
ICOMM Tele,Private Equity,"₹700,000,000","Feb 1, 2008",700000000,8400000
Disruptive By Design,Seed,"$10,000","May 1, 2011",750000,9000
Vishal Retail,Venture - Series Unknown,—,"Sep 1, 2005",0,0
Reliance Power,Post-IPO Debt,"€15,461,000","Sep 18, 2012",0,0
Skymet Weather,Series A,"$900,000","Aug 5, 2011",67500000,810000
Practo,Series A,"$4,000,000","Jul 30, 2012",300000000,3600000
Tanglin,Private Equity,"$86,000,000","Mar 1, 2007",6450000000,77400000
Tejas Networks India,Private Equity,—,"Sep 30, 2010",0,0
Venture Infotek Global Private,Venture - Series Unknown,"$20,000,000","Nov 20, 2007",1500000000,18000000
Anantara Solutions Private Limited,Series A,"$6,500,000","May 17, 2007",487500000,5850000
Saraya,Venture - Series Unknown,"₹887,000,000","Jan 1, 2006",887000000,10644000
Gingr,Angel,"$28,000","Oct 15, 2012",2100000,25200
Radikal Foods,Venture - Series Unknown,—,"Jan 16, 2013",0,0
Karvy Group,Private Equity,"₹5,000,000,000","Nov 16, 2007",5000000000,60000000
Quatrro,Venture - Series Unknown,"$13,000,000","Apr 1, 2010",975000000,11700000
Capillary Technologies,Series A,"$15,500,000","Sep 25, 2012",1162500000,13950000
Tech Integrated,Seed,"$500,000","Jul 8, 2011",37500000,450000
S.R. FOILS,Venture - Series Unknown,—,"Nov 15, 2005",0,0
DiagnoSearch Life Sciences,Private Equity,"₹354,000,000","Aug 27, 2009",354000000,4248000
International Auto,Venture - Series Unknown,"₹438,500,000","Aug 1, 2005",438500000,5262000
Zepo,Seed,—,"Jun 1, 2011",0,0
"Sharekhan Limited, India",Debt Financing,"$176,000,000","Aug 1, 2007",13200000000,158400000
Mauj Mobile,Venture - Series Unknown,"$10,000,000","Feb 23, 2006",750000000,9000000
Kumar Urban Development Limited,Venture - Series Unknown,"$13,000,000","May 2, 2012",975000000,11700000
SSI Education,Private Equity,"$75,000,000","Dec 1, 2003",5625000000,67500000
Lotus Eye Hospital and Institute,Venture - Series Unknown,—,"Jan 1, 2008",0,0
BSR Super Speciality Hospitals,Private Equity,"$10,000,000","Dec 14, 2010",750000000,9000000
IL&FS Education & Technology Services Ltd.,Private Equity,"₹1,720,000,000","Jan 27, 2010",1720000000,20640000
Vyome Therapeutics,Seed,"$1,000,000","Nov 1, 2010",75000000,900000
Ziqitza Health Care,Series A,"$1,500,000","Mar 7, 2007",112500000,1350000
FundsIndia,Series B,"$3,600,000","Jul 31, 2012",270000000,3240000
Marwadi Shares and Finance,Venture - Series Unknown,"₹396,000,000","Mar 27, 2007",396000000,4752000
Maini Precision Products,Venture - Series Unknown,"₹505,700,000","Nov 1, 2011",505700000,6068400
Goli Vada Pav Pvt. Ltd.,Venture - Series Unknown,—,"Aug 1, 2011",0,0
Clari5 (CustomerXPs),Series A,"$4,000,000","Jun 14, 2011",300000000,3600000
Tushky,Seed,"$65,000","Jun 1, 2011",4875000,58500
Eubios Therapeutica Private Limited,Seed,"$60,000","Dec 15, 2012",4500000,54000
Air Works India Engineering,Debt Financing,—,"Jun 19, 2012",0,0
Gitanjali Group,Post-IPO Equity,—,"Oct 1, 2011",0,0
Reva,Private Equity,—,"Nov 1, 2006",0,0
ApnaPaisa,Series B,"$15,000,000","Dec 1, 2007",1125000000,13500000
Ksl & Industries,Venture - Series Unknown,—,"Nov 1, 2007",0,0
Dexetra,Seed,"$200,000","Oct 17, 2011",15000000,180000
Eatz,Equity Crowdfunding,—,"Mar 10, 2011",0,0
IARC,Venture - Series Unknown,"₹900,000,000","Nov 18, 2008",900000000,10800000
Karadi Path,Venture - Series Unknown,—,"Mar 1, 2012",0,0
Paranjape,Venture - Series Unknown,—,"Jun 1, 2010",0,0
Oil Field Instrumentation,Venture - Series Unknown,"₹243,100,000","May 1, 2010",243100000,2917200
Sokrati,Series A,"$1,030,000","Mar 9, 2011",77250000,927000
Studyplaces,Series A,"$3,000,000","Jan 1, 2008",225000000,2700000
Triumphant Institute of Management Education,Venture - Series Unknown,"₹450,000,000","Jan 1, 2008",450000000,5400000
IndiaMART,Series A,"$10,000,000","Jan 14, 2009",750000000,9000000
Achievo,Series A,"$3,555,000","Sep 25, 2002",266625000,3199500
Epigamia,Angel,"$628,621","Jan 1, 2011",47146575,565758.9
Affle,Series A,—,"Nov 1, 2006",0,0
Waterlife India Pvt. Ltd.,Venture - Series Unknown,"₹220,000,000","Dec 13, 2011",220000000,2640000
Chalet Hotels,Private Equity,"₹500,000,000","Mar 23, 2005",500000000,6000000
Hotelogix,Venture - Series Unknown,"$1,200,000","Apr 11, 2012",90000000,1080000
Kaatizone,Venture - Series Unknown,"₹10,000,000","Feb 1, 2009",10000000,120000
Spark Minda,Private Equity,—,"Apr 1, 2011",0,0
Waterfront Film,Venture - Series Unknown,"₹30,000,000","Jan 1, 2012",30000000,360000
PL Engineering,Venture - Series Unknown,—,"May 3, 2010",0,0
Nuziveedu Seeds,Private Equity,"₹2,500,000,000","Dec 30, 2008",2500000000,30000000
Integrated Clean Room Technologies,Venture - Series Unknown,"$8,400,000","Jan 24, 2013",630000000,7560000
Happiest Minds Technologies,Series A,"$45,000,000","Nov 16, 2011",3375000000,40500000
Rebel Foods,Angel,—,"Jul 29, 2010",0,0
Jeeves,Seed,—,"Jun 21, 2012",0,0
DBM,Private Equity,"₹1,000,000,000","Feb 18, 2012",1000000000,12000000
Asomi Finance,Private Equity,"₹80,000,000","Feb 1, 2009",80000000,960000
Vedic Realty,Venture - Series Unknown,—,"Jan 1, 2011",0,0
veriCAR,Seed,—,"Aug 13, 2009",0,0
eClerx,Post-IPO Secondary,"$430,000,000","Aug 14, 2009",32250000000,387000000
Auro Mira Energy,Series B,"$21,000,000","Sep 28, 2010",1575000000,18900000
Tebma Shipyards,Venture - Series Unknown,—,"Feb 1, 2007",0,0
LT Foods,Venture - Series Unknown,—,"Jul 5, 2006",0,0
Moolchand Healthcare,Venture - Series Unknown,"₹1,000,000,000","May 10, 2012",1000000000,12000000
Elbex Couriers Service,Venture - Series Unknown,—,"May 15, 2012",0,0
TVS Logistics Services,Venture - Series Unknown,"$53,000,000","Apr 21, 2012",3975000000,47700000
SureWaves,Series A,"₹100,000,000","Aug 4, 2011",100000000,1200000
Akshayini Oorja Private Ltd,Venture - Series Unknown,—,"Feb 1, 2010",0,0
Sudhir Power,Private Equity,"$75,000,000","Sep 27, 2007",5625000000,67500000
HealthHiway,Venture - Series Unknown,"$4,000,000","Sep 4, 2009",300000000,3600000
ideacts innovations,Series B,—,"Apr 30, 2009",0,0
reQall,Seed,"$2,500,000","Mar 6, 2008",187500000,2250000
Alumnize,Angel,"$20,000","Oct 4, 2012",1500000,18000
Zomato,Seed,"₹47,000,000","Aug 1, 2010",47000000,564000
NetAmbit,Series C,"₹550,000,000","Apr 27, 2011",550000000,6600000
Redington,Private Equity,"$65,000,000","Oct 12, 2008",4875000000,58500000
Promac Engineering Industries,Private Equity,"$8,000,000","Apr 1, 2007",600000000,7200000
Ampere,Venture - Series Unknown,—,"Jan 1, 2013",0,0
YLG Salon,Series B,—,"May 23, 2012",0,0
Coffee Day Beverages,Private Equity,"$75,000,000","Mar 31, 2010",5625000000,67500000
Apalya Technologies,Series B,"$3,000,000","Oct 1, 2009",225000000,2700000
Apalya Technologies,Venture - Series Unknown,"$500,000","Aug 6, 2008",37500000,450000
StarAgri,Private Equity,"$30,000,000","Feb 23, 2012",2250000000,27000000
Rajesh Exports,Venture - Series Unknown,—,"Dec 1, 2005",0,0
GMP Companies,Series A,"$17,200,000","Jan 9, 2007",1290000000,15480000
Shaadi.com,Venture - Series Unknown,"$8,000,000","Mar 10, 2006",600000000,7200000
CustomerAsset,Series B,"$9,000,000","Jul 5, 2001",675000000,8100000
Zovi,Series A,"$5,500,000","Jul 5, 2011",412500000,4950000
IARC,Private Equity,—,"Mar 1, 2006",0,0
Ridlr,Seed,"₹20,000,000","Jan 1, 2012",20000000,240000
Ola,Series A,"$5,000,000","Apr 10, 2012",375000000,4500000
Equitas Holdings,Seed,"$1,500,000","Mar 1, 2008",112500000,1350000
Austral Coke and Projects,Venture - Series Unknown,—,"Oct 1, 2008",0,0
ePaisa - enabling commerce,Seed,"$150,000","Nov 4, 2012",11250000,135000
Karuturi Global,Post-IPO Equity,—,"May 1, 2011",0,0
RobotsAlive,Seed,—,"Aug 13, 2009",0,0
Zoomcar,Seed,—,"Jan 11, 2013",0,0
Naaptol,Series B,"$25,000,000","Oct 20, 2011",1875000000,22500000
sulekha.com,Series A,"$10,000,000","Jan 1, 2006",750000000,9000000
Babyoye,Seed,—,"Dec 1, 2011",0,0
Duron Energy,Venture - Series Unknown,—,"Sep 30, 2011",0,0
Micromax Informatics,Venture - Series Unknown,"$45,000,000","Jan 12, 2010",3375000000,40500000
Kumudam,Seed,"₹17,000,000","Feb 5, 2007",17000000,204000
Sejal Glass,Venture - Series Unknown,—,"Jun 1, 2011",0,0
Vaatsalya Healthcare,Venture - Series Unknown,"$10,000,000","Jun 1, 2011",750000000,9000000
House of Anita Dongre,Private Equity,—,"Jan 1, 2013",0,0
Apollo Hospitals Enterprise,Post-IPO Equity,"$100,000,000","Sep 3, 2007",7500000000,90000000
TravelGuru,Venture - Series Unknown,"$15,000,000","Nov 29, 2006",1125000000,13500000
Strides Pharma Science,Post-IPO Equity,"$12,500,000","Aug 9, 2012",937500000,11250000
Shriram Properties,Private Equity,"$100,000,000","Nov 12, 2011",7500000000,90000000
EduKart,Seed,"$500,000","Apr 1, 2011",37500000,450000
nwplyng,Seed,"$40,000","Apr 1, 2012",3000000,36000
Sambandh Finserve,Venture - Series Unknown,"₹23,400,000","Oct 1, 2009",23400000,280800
FLUIDS MULTIMEDIA PRIVATE LIMITED,Pre-Seed,"$250,000","Sep 8, 2009",18750000,225000
CarWale,Seed,—,"Dec 14, 2006",0,0
Mswipe Technologies,Series A,—,"Jan 10, 2013",0,0
PR Packagings,Venture - Series Unknown,"₹150,000,000","Apr 8, 2011",150000000,1800000
NEO Sports,Venture - Series Unknown,—,"Mar 8, 2010",0,0
Aspiring Minds,Series A,—,"Nov 9, 2011",0,0
Wild East Group,Angel,—,"Dec 10, 2010",0,0
Brandis,Private Equity,"$13,540,000","Nov 9, 2012",1015500000,12186000
Banjara's,Private Equity,—,"Nov 16, 2012",0,0
Innoz,Seed,—,"Apr 1, 2012",0,0
Vijayawada Tollway Private Ltd,Private Equity,—,"Sep 1, 2008",0,0
Omega Shelters,Venture - Series Unknown,—,"Feb 1, 2012",0,0
igadget.asia,Angel,"$10,000","Jan 1, 2012",750000,9000
Nimbus Communications,Private Equity,"$125,000,000","Jan 22, 2007",9375000000,112500000
EkStop,Angel,—,"Jun 28, 2012",0,0
U2opia Mobile,Series A,—,"Sep 29, 2011",0,0
Prataap Snacks Limited,Series A,"$30,000,000","Jun 27, 2011",2250000000,27000000
Accendo Technologies,Angel,"$1,560,000","Jan 25, 2005",117000000,1404000
Karmic Lifesciences,Series B,—,"May 28, 2010",0,0
Loylty Rewardz Management,Venture - Series Unknown,"₹60,000,000","Nov 10, 2009",60000000,720000
SunBorne Energy,Venture - Series Unknown,"$5,000,000","Dec 16, 2009",375000000,4500000
Eubios Therapeutica Private Limited,Venture - Series Unknown,"$490,000","Aug 22, 2010",36750000,441000
i7 Networks,Seed,"₹2,500","Dec 1, 2012",2500,30
Shubham Housing Development Finance Company,Series B,"$8,000,000","Nov 30, 2012",600000000,7200000
Perfint Healthcare,Series A,"$3,500,000","Dec 1, 2007",262500000,3150000
Emergent Ventures India,Series A,"$10,040,000","Apr 6, 2008",753000000,9036000
Universal Power Transformer,Private Equity,"$15,000,000","Mar 4, 2008",1125000000,13500000
NTT Global Networks,Venture - Series Unknown,"$5,136,706","May 21, 2010",385252950,4623035.4
Shamit Buildcon,Venture - Series Unknown,—,"Mar 22, 2012",0,0
Infogile Technologies,Seed,"$20,000","May 4, 2007",1500000,18000
Manipal Group,Private Equity,"$30,000,000","Jun 1, 2006",2250000000,27000000
HumanCloud,Seed,"$400,000","Jun 1, 2011",30000000,360000
Via.com,Venture - Series Unknown,"$10,000,000","Jan 22, 2010",750000000,9000000
i7 Networks,Seed,"₹1,000","Sep 1, 2012",1000,12
Affle,Series B,—,"Feb 11, 2009",0,0
Sahyadri Hospitals,Venture - Series Unknown,"₹1,400,000,000","Jan 10, 2008",1400000000,16800000
South Indian Bank,Post-IPO Equity,"$82,300,000","Sep 8, 2012",6172500000,74070000
BigBasket,Seed,"₹50,000,000","Dec 1, 2011",50000000,600000
VNR Infrastructures,Venture - Series Unknown,"₹201,700,000","Mar 1, 2008",201700000,2420400
